distbin,District,purpose,value
1,1: Downtown,Work,0
2,1: Downtown,Work,0
3,1: Downtown,Work,0
4,1: Downtown,Work,0
5,1: Downtown,Work,0
6,1: Downtown,Work,0
7,1: Downtown,Work,0
8,1: Downtown,Work,0
9,1: Downtown,Work,0
10,1: Downtown,Work,0
11,1: Downtown,Work,0
12,1: Downtown,Work,0
13,1: Downtown,Work,0
14,1: Downtown,Work,0
15,1: Downtown,Work,0
16,1: Downtown,Work,0
17,1: Downtown,Work,0
18,1: Downtown,Work,0
19,1: Downtown,Work,0
20,1: Downtown,Work,0
21,1: Downtown,Work,0
22,1: Downtown,Work,0
23,1: Downtown,Work,0
24,1: Downtown,Work,0
25,1: Downtown,Work,0
26,1: Downtown,Work,0
27,1: Downtown,Work,0
28,1: Downtown,Work,0
29,1: Downtown,Work,0
30,1: Downtown,Work,0
31,1: Downtown,Work,0
32,1: Downtown,Work,0
33,1: Downtown,Work,0
34,1: Downtown,Work,0
35,1: Downtown,Work,0
36,1: Downtown,Work,0
37,1: Downtown,Work,0
38,1: Downtown,Work,0
39,1: Downtown,Work,0
40,1: Downtown,Work,0
41,1: Downtown,Work,0
42,1: Downtown,Work,0
43,1: Downtown,Work,0
44,1: Downtown,Work,0
45,1: Downtown,Work,0
46,1: Downtown,Work,0
47,1: Downtown,Work,0
48,1: Downtown,Work,0
49,1: Downtown,Work,0
50,1: Downtown,Work,0
51,1: Downtown,Work,0
1,2: Central,Work,0
2,2: Central,Work,0
3,2: Central,Work,0
4,2: Central,Work,0
5,2: Central,Work,0
6,2: Central,Work,0
7,2: Central,Work,0
8,2: Central,Work,0
9,2: Central,Work,0
10,2: Central,Work,0
11,2: Central,Work,0
12,2: Central,Work,0
13,2: Central,Work,0
14,2: Central,Work,0
15,2: Central,Work,0
16,2: Central,Work,0
17,2: Central,Work,0
18,2: Central,Work,0
19,2: Central,Work,0
20,2: Central,Work,0
21,2: Central,Work,0
22,2: Central,Work,0
23,2: Central,Work,0
24,2: Central,Work,0
25,2: Central,Work,0
26,2: Central,Work,0
27,2: Central,Work,0
28,2: Central,Work,0
29,2: Central,Work,0
30,2: Central,Work,0
31,2: Central,Work,0
32,2: Central,Work,0
33,2: Central,Work,0
34,2: Central,Work,0
35,2: Central,Work,0
36,2: Central,Work,0
37,2: Central,Work,0
38,2: Central,Work,0
39,2: Central,Work,0
40,2: Central,Work,0
41,2: Central,Work,0
42,2: Central,Work,0
43,2: Central,Work,0
44,2: Central,Work,0
45,2: Central,Work,0
46,2: Central,Work,0
47,2: Central,Work,0
48,2: Central,Work,0
49,2: Central,Work,0
50,2: Central,Work,0
51,2: Central,Work,0
1,3: North City,Work,0
2,3: North City,Work,0
3,3: North City,Work,0
4,3: North City,Work,0
5,3: North City,Work,0
6,3: North City,Work,0
7,3: North City,Work,0
8,3: North City,Work,0
9,3: North City,Work,0
10,3: North City,Work,0
11,3: North City,Work,0
12,3: North City,Work,0
13,3: North City,Work,0
14,3: North City,Work,0
15,3: North City,Work,0
16,3: North City,Work,0
17,3: North City,Work,0
18,3: North City,Work,0
19,3: North City,Work,0
20,3: North City,Work,0
21,3: North City,Work,0
22,3: North City,Work,0
23,3: North City,Work,0
24,3: North City,Work,0
25,3: North City,Work,0
26,3: North City,Work,0
27,3: North City,Work,0
28,3: North City,Work,0
29,3: North City,Work,0
30,3: North City,Work,0
31,3: North City,Work,0
32,3: North City,Work,0
33,3: North City,Work,0
34,3: North City,Work,0
35,3: North City,Work,0
36,3: North City,Work,0
37,3: North City,Work,0
38,3: North City,Work,0
39,3: North City,Work,0
40,3: North City,Work,0
41,3: North City,Work,0
42,3: North City,Work,0
43,3: North City,Work,0
44,3: North City,Work,0
45,3: North City,Work,0
46,3: North City,Work,0
47,3: North City,Work,0
48,3: North City,Work,0
49,3: North City,Work,0
50,3: North City,Work,0
51,3: North City,Work,0
1,4: South Suburban,Work,0
2,4: South Suburban,Work,0
3,4: South Suburban,Work,0
4,4: South Suburban,Work,0
5,4: South Suburban,Work,0
6,4: South Suburban,Work,0
7,4: South Suburban,Work,0
8,4: South Suburban,Work,0
9,4: South Suburban,Work,0
10,4: South Suburban,Work,0
11,4: South Suburban,Work,0
12,4: South Suburban,Work,0
13,4: South Suburban,Work,0
14,4: South Suburban,Work,0
15,4: South Suburban,Work,0
16,4: South Suburban,Work,0
17,4: South Suburban,Work,0
18,4: South Suburban,Work,0
19,4: South Suburban,Work,0
20,4: South Suburban,Work,0
21,4: South Suburban,Work,0
22,4: South Suburban,Work,0
23,4: South Suburban,Work,0
24,4: South Suburban,Work,0
25,4: South Suburban,Work,0
26,4: South Suburban,Work,0
27,4: South Suburban,Work,0
28,4: South Suburban,Work,0
29,4: South Suburban,Work,0
30,4: South Suburban,Work,0
31,4: South Suburban,Work,0
32,4: South Suburban,Work,0
33,4: South Suburban,Work,0
34,4: South Suburban,Work,0
35,4: South Suburban,Work,0
36,4: South Suburban,Work,0
37,4: South Suburban,Work,0
38,4: South Suburban,Work,0
39,4: South Suburban,Work,0
40,4: South Suburban,Work,0
41,4: South Suburban,Work,0
42,4: South Suburban,Work,0
43,4: South Suburban,Work,0
44,4: South Suburban,Work,0
45,4: South Suburban,Work,0
46,4: South Suburban,Work,0
47,4: South Suburban,Work,0
48,4: South Suburban,Work,0
49,4: South Suburban,Work,0
50,4: South Suburban,Work,0
51,4: South Suburban,Work,0
1,5: East Suburban,Work,0
2,5: East Suburban,Work,0
3,5: East Suburban,Work,0
4,5: East Suburban,Work,0
5,5: East Suburban,Work,0
6,5: East Suburban,Work,0
7,5: East Suburban,Work,0
8,5: East Suburban,Work,0
9,5: East Suburban,Work,0
10,5: East Suburban,Work,0
11,5: East Suburban,Work,0
12,5: East Suburban,Work,0
13,5: East Suburban,Work,0
14,5: East Suburban,Work,0
15,5: East Suburban,Work,0
16,5: East Suburban,Work,0
17,5: East Suburban,Work,0
18,5: East Suburban,Work,0
19,5: East Suburban,Work,0
20,5: East Suburban,Work,0
21,5: East Suburban,Work,0
22,5: East Suburban,Work,0
