period,purpose,freq_dep,freq_arr,skim_period
4.75,1: Work,37638,44,1: EA
4.75,2: University,178,1,1: EA
4.75,3: School,3614,8,1: EA
4.75,4: Escort,1189,564,1: EA
4.75,5: Individual Maintenance,535,64,1: EA
4.75,6: Individual Discretionary,2153,58,1: EA
4.75,7: Joint Maintenance,203,31,1: EA
4.75,8: Joint Discretionary,552,28,1: EA
4.75,9: Work-based,102,6,1: EA
5.25,1: Work,41596,110,1: EA
5.25,2: University,198,4,1: EA
5.25,3: School,4312,20,1: EA
5.25,4: Escort,2479,1382,1: EA
5.25,5: Individual Maintenance,810,190,1: EA
5.25,6: Individual Discretionary,2813,259,1: EA
5.25,7: Joint Maintenance,258,73,1: EA
5.25,8: Joint Discretionary,553,89,1: EA
5.25,9: Work-based,163,21,1: EA
5.75,1: Work,108287,199,1: EA
5.75,2: University,204,2,1: EA
5.75,3: School,5349,42,1: EA
5.75,4: Escort,6375,3450,1: EA
5.75,5: Individual Maintenance,1293,358,1: EA
5.75,6: Individual Discretionary,3692,650,1: EA
5.75,7: Joint Maintenance,324,115,1: EA
5.75,8: Joint Discretionary,624,204,1: EA
5.75,9: Work-based,380,74,1: EA
6.25,1: Work,58412,302,2: AM
6.25,2: University,1355,5,2: AM
6.25,3: School,3994,28,2: AM
6.25,4: Escort,11585,9942,2: AM
6.25,5: Individual Maintenance,2037,680,2: AM
6.25,6: Individual Discretionary,4587,1397,2: AM
6.25,7: Joint Maintenance,438,217,2: AM
6.25,8: Joint Discretionary,627,362,2: AM
6.25,9: Work-based,473,126,2: AM
6.75,1: Work,92571,486,2: AM
6.75,2: University,2204,24,2: AM
6.75,3: School,46125,95,2: AM
6.75,4: Escort,23175,19455,2: AM
6.75,5: Individual Maintenance,3130,1297,2: AM
6.75,6: Individual Discretionary,6183,2501,2: AM
6.75,7: Joint Maintenance,517,388,2: AM
6.75,8: Joint Discretionary,622,626,2: AM
6.75,9: Work-based,628,183,2: AM
7.25,1: Work,126692,724,2: AM
7.25,2: University,10100,53,2: AM
7.25,3: School,152887,212,2: AM
7.25,4: Escort,69415,46478,2: AM
7.25,5: Individual Maintenance,4950,1843,2: AM
7.25,6: Individual Discretionary,8565,3397,2: AM
7.25,7: Joint Maintenance,629,472,2: AM
7.25,8: Joint Discretionary,739,665,2: AM
7.25,9: Work-based,784,255,2: AM
7.75,1: Work,155630,1183,2: AM
7.75,2: University,13006,107,2: AM
7.75,3: School,182253,336,2: AM
7.75,4: Escort,135594,87894,2: AM
7.75,5: Individual Maintenance,8577,2287,2: AM
7.75,6: Individual Discretionary,14660,3816,2: AM
7.75,7: Joint Maintenance,971,413,2: AM
7.75,8: Joint Discretionary,1077,527,2: AM
7.75,9: Work-based,961,358,2: AM
8.25,1: Work,117358,1698,2: AM
8.25,2: University,9152,157,2: AM
8.25,3: School,99653,339,2: AM
8.25,4: Escort,92254,98942,2: AM
8.25,5: Individual Maintenance,15255,2916,2: AM
8.25,6: Individual Discretionary,15335,4575,2: AM
8.25,7: Joint Maintenance,1518,460,2: AM
8.25,8: Joint Discretionary,1061,439,2: AM
8.25,9: Work-based,1416,550,2: AM
8.75,1: Work,84580,2225,2: AM
8.75,2: University,10612,306,2: AM
8.75,3: School,52827,418,2: AM
8.75,4: Escort,42299,72514,2: AM
8.75,5: Individual Maintenance,19809,3873,2: AM
8.75,6: Individual Discretionary,16962,5781,2: AM
8.75,7: Joint Maintenance,2057,489,2: AM
8.75,8: Joint Discretionary,1067,450,2: AM
8.75,9: Work-based,1811,753,2: AM
9.25,1: Work,49821,2993,3: MD
9.25,2: University,8696,495,3: MD
9.25,3: School,8480,400,3: MD
9.25,4: Escort,10164,24129,3: MD
9.25,5: Individual Maintenance,25240,5081,3: MD
9.25,6: Individual Discretionary,18850,7465,3: MD
9.25,7: Joint Maintenance,2627,490,3: MD
9.25,8: Joint Discretionary,1142,569,3: MD
9.25,9: Work-based,2265,947,3: MD
9.75,1: Work,30409,3826,3: MD
9.75,2: University,6949,578,3: MD
9.75,3: School,4636,398,3: MD
9.75,4: Escort,10100,13436,3: MD
9.75,5: Individual Maintenance,46415,8443,3: MD
9.75,6: Individual Discretionary,20357,10502,3: MD
9.75,7: Joint Maintenance,4902,835,3: MD
9.75,8: Joint Discretionary,2604,768,3: MD
9.75,9: Work-based,2768,1407,3: MD
10.25,1: Work,20847,4769,3: MD
10.25,2: University,5937,1167,3: MD
10.25,3: School,2994,958,3: MD
10.25,4: Escort,10311,10564,3: MD
10.25,5: Individual Maintenance,52700,23632,3: MD
10.25,6: Individual Discretionary,14353,10977,3: MD
10.25,7: Joint Maintenance,5816,2215,3: MD
10.25,8: Joint Discretionary,1842,843,3: MD
10.25,9: Work-based,3529,1900,3: MD
10.75,1: Work,19528,6155,3: MD
10.75,2: University,4977,1835,3: MD
10.75,3: School,2163,2161,3: MD
10.75,4: Escort,10983,10405,3: MD
10.75,5: Individual Maintenance,53016,29632,3: MD
10.75,6: Individual Discretionary,14385,11420,3: MD
10.75,7: Joint Maintenance,5788,2886,3: MD
10.75,8: Joint Discretionary,1787,986,3: MD
10.75,9: Work-based,4505,2666,3: MD
11.25,1: Work,18389,7972,3: MD
11.25,2: University,4123,2853,3: MD
11.25,3: School,1870,3796,3: MD
11.25,4: Escort,11270,10879,3: MD
11.25,5: Individual Maintenance,42898,36327,3: MD
11.25,6: Individual Discretionary,17014,14356,3: MD
11.25,7: Joint Maintenance,4605,3722,3: MD
11.25,8: Joint Discretionary,2205,1356,3: MD
11.25,9: Work-based,5656,3677,3: MD
11.75,1: Work,17590,9990,3: MD
11.75,2: University,3514,3548,3: MD
11.75,3: School,1680,6010,3: MD
11.75,4: Escort,11913,11283,3: MD
